ride_id,driver_name,passenger_name,pickup_city,dropoff_city,fare_amount,ride_distance_km,ride_status,requested_at,completed_at,rating,payment_method
22,Suresh Magar,Suman Giri,Butwal,Birgunj,724.34,20.84,cancelled,2024-02-13 02:40:38,,,
23,Priya Gurung,Ritu Koirala,Kirtipur,Kathmandu,83.1,26.07,completed,2024-01-25 03:43:18,2024-01-25 04:26:49.229485,,cash
24,Priya Gurung,Prem Basnet,Biratnagar,Kathmandu,210.33,34.26,cancelled,2024-12-02 19:13:55,,,cash
25,Bikash Karki,Suman Giri,Kathmandu,Pokhara,124.05,44.55,no_show,2024-11-28 18:29:12,,,esewa
26,Sita Tamang,Dipesh Oli,Hetauda,Pokhara,718.96,22.57,cancelled,2024-01-14 08:28:34,,,
27,ramesh shrestha,Sunita KC,Hetauda,Biratnagar,549.49,13.14,completed,2024-04-07 17:41:21,2024-04-07 17:54:42.568142,3.5,cash
28,Suresh Magar,Rekha Tiwari,Pokhara,Chitwan,507.48,2.23,completed,2024-12-04 21:58:30,2024-12-04 22:23:32.172616,2.9,cash
29,Priya Gurung,Sanjay Maharjan,Kirtipur,Biratnagar,354.83,14.06,cancelled,2024-05-23 05:44:29,,,
30,Kabita Lama,Prem Basnet,Hetauda,Biratnagar,433.86,42.1,completed,2024-06-08 18:16:21,2024-06-08 18:56:37.526227,3.3,khalti
31,Bikash Karki,Rekha Tiwari,Hetauda,Pokhara,586.45,27.31,completed,2024-01-12 02:01:56,2024-01-12 02:17:10.604424,,esewa
32,Rajan Pandey,Suman Giri,Bhaktapur,Lalitpur,703.02,43.25,completed,2024-09-03 16:11:21,2024-09-03 17:00:42.695725,2.7,cash
33,Rajan Pandey,Meena Adhikari,Chitwan,Chitwan,724.23,21.1,completed,2024-08-14 10:08:18,2024-08-14 10:27:28.949195,4.0,esewa
34,Rajan Pandey,Bina Ghimire,Kathmandu,Kirtipur,270.85,34.04,no_show,2024-05-02 06:42:48,,,cash
35,Suresh Magar,Prem Basnet,Hetauda,Chitwan,1000.0,43.33,cancelled,2024-11-22 19:57:20,,,
36,Bikash Karki,Laxmi Shrestha,Biratnagar,Kirtipur,2697.5,35.01,completed,2024-07-11 07:05:26,2024-07-11 08:16:06.178486,,cash
37,Ramesh Shrestha,Rekha Tiwari,Lalitpur,Biratnagar,330.47,30.26,completed,2024-03-17 05:53:42,2024-03-17 06:29:39.450292,4.7,esewa
38,Sita  Tamang,Bina Ghimire,Bhaktapur,Butwal,337.39,34.36,cancelled,2024-10-12 12:29:09,,,cash
39,Rajan Pandey,Dipesh Oli,Bhaktapur,Butwal,95.62,5.31,cancelled,2024-12-28 04:11:58,,,cash
40,ramesh shrestha,Ashok Neupane,Birgunj,Kirtipur,612.39,31.41,cancelled,2024-11-09 05:53:52,,,esewa
41,Priya Gurung,Meena Adhikari,Birgunj,Butwal,200.0,15.18,cancelled,2024-07-12 05:23:41,,,cash
42,Priya Gurung,Nabin Chand,Pokhara,Butwal,445.27,23.53,completed,2024-09-15 22:33:38,2024-09-15 23:04:07.467628,3.4,cash
43,deepak thapa,Prem Basnet,Hetauda,Birgunj,128.46,5.06,no_show,2024-10-17 11:36:53,,,card
44,Nisha Bista,Suman Giri,Pokhara,Lalitpur,738.9,13.84,completed,2024-01-30 09:53:54,2024-01-30 10:10:03.010317,3.3,khalti
45,Deepak Thapa,Ritu Koirala,Lalitpur,Hetauda,324.44,39.82,cancelled,2024-09-17 05:14:57,,,cash
46,Anita Rai,Pratima Hamal,Hetauda,Pokhara,398.13,31.0,cancelled,2024-08-01 02:22:25,,,cash
47,Rajan Pandey,Manish Bajracharya,Bhaktapur,Pokhara,643.95,39.69,completed,2024-03-13 23:49:15,2024-03-14 00:30:24.404356,2.5,cash
48,Sita Tamang,Meena Adhikari,Birgunj,Biratnagar,783.04,42.01,completed,2024-12-09 04:23:34,2024-12-09 05:35:08.494823,4.6,khalti
49,deepak thapa,Sabina Dahal,Pokhara,Chitwan,738.47,3.87,completed,2024-12-21 10:50:18,2024-12-21 11:19:28.902762,4.2,khalti
50,Nisha Bista,Rohan Shah,Hetauda,Kathmandu,282.93,16.38,completed,2024-12-11 11:20:22,2024-12-11 12:35:13.567072,2.5,cash
51,Deepak Thapa,Kavya Poudel,Butwal,Lalitpur,703.31,26.51,completed,2024-07-17 00:25:29,2024-07-17 00:55:22.555596,,cash
52,deepak thapa,Niraj Acharya,Pokhara,Biratnagar,157.81,27.76,no_show,2024-06-19 09:21:46,,,esewa
53,Suresh Magar,Pratima Hamal,Butwal,Butwal,93.59,11.07,completed,2024-02-25 04:20:07,2024-02-25 05:37:51.232655,4.4,cash
54,Nisha Bista,Sunita KC,Kirtipur,Chitwan,16.48,22.25,no_show,2024-09-13 10:33:26,,,cash
55,Anita Rai,Kavya Poudel,Hetauda,Hetauda,217.52,31.68,completed,2024-08-18 10:12:19,2024-08-18 10:47:51.755430,4.1,cash
56,Deepak Thapa,Prem Basnet,Butwal,Bhaktapur,647.4,27.72,cancelled,2024-06-01 15:20:51,,,esewa
57,Bikash Karki,Rekha Tiwari,Chitwan,Pokhara,337.55,14.76,cancelled,2024-01-24 13:12:14,,,cash
58,Rajan Pandey,Kavya Poudel,Birgunj,Bhaktapur,521.99,40.83,completed,2024-05-04 19:17:25,2024-05-04 19:27:06.480815,2.7,cash
59,Rajan Pandey,Nabin Chand,Biratnagar,Birgunj,93.75,40.46,completed,2024-09-24 09:34:46,2024-09-24 10:28:33.508931,4.9,khalti
60,Sita  Tamang,Sunita KC,Kathmandu,Biratnagar,366.35,6.01,completed,2024-10-22 15:31:37,2024-10-22 16:16:44.596017,3.3,card
61,Rajan Pandey,Dipesh Oli,Butwal,Birgunj,133.34,31.33,completed,2024-06-07 10:23:16,2024-06-07 11:47:31.836929,3.3,cash
62,Suresh Magar,Laxmi Shrestha,Butwal,Bhaktapur,325.72,4.99,completed,2024-02-23 16:42:30,2024-02-23 17:18:04.178843,4.6,khalti
63,Priya Gurung,Niraj Acharya,Lalitpur,Kathmandu,1873.71,6.79,completed,2024-12-11 17:22:57,2024-12-11 18:47:02.729890,,cash
64,Rajan Pandey,Bijay Yadav,Hetauda,Bhaktapur,726.19,7.13,no_show,2024-02-08 21:16:23,,,cash
65,Rajan Pandey,Bina Ghimire,Kathmandu,Pokhara,91.61,38.21,no_show,2024-05-09 05:12:53,,,cash
66,Anita Rai,Pratima Hamal,Butwal,Birgunj,651.48,31.61,completed,2024-05-16 20:18:38,2024-05-16 21:03:50.578462,3.6,cash
67,Anita Rai,Meena Adhikari,Kirtipur,Biratnagar,144.61,36.31,completed,2024-12-24 14:58:23,2024-12-24 16:24:42.870548,4.7,cash
68,Bikash Karki,Prem Basnet,Butwal,Biratnagar,591.58,15.2,completed,2024-10-20 15:33:35,2024-10-20 15:42:00.884665,2.8,cash
69,ramesh shrestha,Manish Bajracharya,Bhaktapur,Hetauda,175.25,38.94,no_show,2024-05-14 06:35:30,,,khalti
70,Sita  Tamang,Bina Ghimire,Kathmandu,Pokhara,349.2,5.86,completed,2024-06-28 23:37:04,2024-06-29 00:51:56.052991,3.5,khalti
71,Deepak Thapa,Manish Bajracharya,Biratnagar,Kirtipur,697.12,7.18,completed,2024-03-12 23:55:05,2024-03-13 01:06:43.153429,3.2,khalti
72,Priya Gurung,Bina Ghimire,Pokhara,Lalitpur,2883.94,25.65,cancelled,2024-11-12 18:55:13,,,card
73,Kabita Lama,Bina Ghimire,Biratnagar,Hetauda,506.61,14.61,completed,2024-06-05 14:52:39,2024-06-05 15:13:18.409450,,khalti
74,Deepak Thapa,Pratima Hamal,Kathmandu,Butwal,289.27,42.05,completed,2024-09-06 11:45:56,2024-09-06 12:53:47.241487,3.0,khalti
75,Kabita Lama,Manish Bajracharya,Bhaktapur,Kirtipur,393.19,23.74,cancelled,2024-07-07 04:20:15,,,cash
76,Suresh Magar,Pratima Hamal,Butwal,Kathmandu,327.53,6.92,completed,2024-06-08 23:46:45,2024-06-09 01:06:32.906117,2.9,khalti
77,Nisha Bista,Bina Ghimire,Pokhara,Bhaktapur,390.27,12.74,cancelled,2024-10-16 01:13:00,,,card
78,Priya Gurung,Pratima Hamal,Kirtipur,Chitwan,749.51,30.47,cancelled,2024-07-20 18:34:23,,,cash
79,ramesh shrestha,Niraj Acharya,Birgunj,Kathmandu,167.06,41.99,completed,2024-10-03 01:12:20,2024-10-03 01:35:43.665551,,cash
80,Rajan Pandey,Sabina Dahal,Kathmandu,Pokhara,541.05,34.39,completed,2024-01-07 02:28:13,2024-01-07 02:49:56.731177,2.7,cash
81,Sita Tamang,Meena Adhikari,Kathmandu,Butwal,200.0,1.6,cancelled,2024-06-15 16:38:40,,,cash
82,Anita Rai,Pratima Hamal,Biratnagar,Butwal,645.27,22.11,completed,2024-11-30 20:18:36,2024-11-30 21:48:07.642346,3.4,card
83,Anita Rai,Sanjay Maharjan,Kathmandu,Biratnagar,164.67,13.19,completed,2024-01-22 03:53:40,2024-01-22 04:04:47.023095,4.3,cash
84,Rajan Pandey,Nabin Chand,Pokhara,Kirtipur,460.94,4.74,completed,2024-11-18 05:39:19,2024-11-18 06:33:59.061563,3.2,cash
85,Rajan Pandey,Nabin Chand,Biratnagar,Birgunj,784.88,2.69,no_show,2024-05-15 07:23:20,,,cash
86,Kabita Lama,Bina Ghimire,Birgunj,Lalitpur,535.18,17.67,completed,2024-01-06 22:55:17,2024-01-06 23:41:41.503318,,esewa
87,Deepak Thapa,Kavya Poudel,Chitwan,Bhaktapur,276.34,33.01,completed,2024-07-23 21:54:33,2024-07-23 22:04:58.759395,3.1,cash
88,Suresh Magar,Suman Giri,Bhaktapur,Kirtipur,533.01,15.56,completed,2024-02-01 17:01:00,2024-02-01 17:39:26.472739,3.4,khalti
89,Sita Tamang,Sunita KC,Pokhara,Kirtipur,471.81,5.33,completed,2024-03-31 01:34:27,2024-03-31 02:48:14.008074,3.9,cash
90,Suresh Magar,Suman Giri,Pokhara,Kirtipur,2144.25,15.6,completed,2024-12-11 18:01:41,2024-12-11 18:08:26.940780,4.4,khalti
91,Deepak Thapa,Niraj Acharya,Bhaktapur,Pokhara,237.96,16.79,completed,2024-08-13 12:04:30,2024-08-13 12:56:24.208086,4.1,card
92,deepak thapa,Prem Basnet,Biratnagar,Kathmandu,157.41,3.05,completed,2024-08-21 19:35:27,2024-08-21 20:38:04.767256,2.9,khalti
93,Ramesh Shrestha,Meena Adhikari,Birgunj,Pokhara,476.34,42.79,completed,2024-12-07 08:45:30,2024-12-07 10:14:18.676291,4.0,card
94,Anita Rai,Niraj Acharya,Lalitpur,Bhaktapur,155.89,18.84,cancelled,2024-10-25 17:58:03,,,
95,Priya Gurung,Kavya Poudel,Biratnagar,Pokhara,759.59,24.09,cancelled,2024-11-28 10:36:34,,,cash
96,Bikash Karki,Bina Ghimire,Lalitpur,Chitwan,105.17,6.12,cancelled,2024-05-07 03:42:35,,,cash
97,Rajan Pandey,Kavya Poudel,Hetauda,Biratnagar,778.58,28.64,no_show,2024-10-31 17:35:07,,,cash
98,Bikash Karki,Manish Bajracharya,Kathmandu,Hetauda,608.26,27.74,completed,2024-03-15 04:13:34,2024-03-15 05:01:22.362911,4.9,card
99,Sita Tamang,Kavya Poudel,Bhaktapur,Biratnagar,25.09,33.04,no_show,2024-09-05 15:52:34,,,cash
100,Nisha Bista,Prem Basnet,Chitwan,Pokhara,27.19,8.51,completed,2024-04-03 08:49:00,2024-04-03 09:02:45.546715,4.3,esewa
101,Bikash Karki,Laxmi Shrestha,Lalitpur,Butwal,293.9,4.99,cancelled,2024-04-24 11:20:04,,,cash
102,Ramesh Shrestha,Suman Giri,Birgunj,Bhaktapur,686.51,29.18,no_show,2024-10-29 16:59:10,,,cash
103,Sita  Tamang,Sunita KC,Lalitpur,Bhaktapur,560.27,17.18,completed,2024-05-30 08:36:13,2024-05-30 09:57:00.484725,4.1,cash
104,Bikash Karki,Bijay Yadav,Kirtipur,Hetauda,305.9,8.79,cancelled,2024-05-05 04:47:04,,,khalti
105,Rajan Pandey,Bijay Yadav,Kathmandu,Kathmandu,80.33,41.84,completed,2024-07-15 15:34:33,2024-07-15 16:25:59.368284,3.8,card
106,Suresh Magar,Bijay Yadav,Biratnagar,Birgunj,265.91,1.92,cancelled,2024-02-09 02:52:02,,,cash
107,Bikash Karki,Dipesh Oli,Hetauda,Pokhara,130.51,17.45,no_show,2024-04-17 20:20:04,,,khalti
108,Suresh Magar,Meena Adhikari,Butwal,Butwal,124.21,40.14,completed,2024-09-30 09:19:15,2024-09-30 10:08:49.457703,2.8,khalti
109,Nisha Bista,Arun Joshi,Kathmandu,Biratnagar,397.5,36.62,cancelled,2024-05-10 23:03:08,,,card
110,ramesh shrestha,Laxmi Shrestha,Birgunj,Bhaktapur,371.04,16.44,cancelled,2024-05-21 02:37:53,,,cash
111,Nisha Bista,Pratima Hamal,Pokhara,Chitwan,155.49,39.57,completed,2024-06-30 06:21:09,2024-06-30 07:44:21.477348,4.2,card
112,Suresh Magar,Manish Bajracharya,Lalitpur,Birgunj,279.78,14.77,cancelled,2024-12-02 09:18:06,,,esewa
113,Anita Rai,Bijay Yadav,Lalitpur,Biratnagar,691.98,22.86,cancelled,2024-12-17 20:01:15,,,
114,Bikash Karki,Dipesh Oli,Pokhara,Lalitpur,628.18,26.93,no_show,2024-06-12 07:24:24,,,khalti
115,Bikash Karki,Meena Adhikari,Bhaktapur,Pokhara,768.4,12.31,cancelled,2024-02-15 11:16:37,,,esewa
116,Nisha Bista,Arun Joshi,Biratnagar,Pokhara,220.98,15.0,completed,2024-02-19 14:37:30,2024-02-19 15:20:40.810820,3.1,card
117,Anita Rai,Bijay Yadav,Pokhara,Chitwan,435.01,4.41,no_show,2024-02-13 13:06:53,,,khalti
118,Bikash Karki,Bijay Yadav,Chitwan,Kirtipur,167.38,7.04,completed,2024-08-31 21:58:51,2024-08-31 23:27:49.626354,4.9,card
119,Suresh Magar,Sanjay Maharjan,Chitwan,Kathmandu,492.66,16.38,completed,2024-05-04 22:51:59,2024-05-04 23:28:09.912214,4.3,cash
120,Rajan Pandey,Bijay Yadav,Lalitpur,Hetauda,617.48,42.55,completed,2024-12-02 16:04:07,2024-12-02 16:19:13.508305,2.8,khalti
121,Rajan Pandey,Ashok Neupane,Chitwan,Bhaktapur,288.46,27.79,completed,2024-10-14 15:19:11,2024-10-14 15:41:17.415349,4.1,card
122,deepak thapa,Dipesh Oli,Chitwan,Hetauda,167.2,40.12,completed,2024-10-27 05:13:29,2024-10-27 06:22:06.031164,4.7,cash
123,Rajan Pandey,Arun Joshi,Bhaktapur,Kirtipur,323.32,43.72,completed,2024-04-13 08:33:53,2024-04-13 09:16:03.429561,4.7,cash
124,Suresh Magar,Sanjay Maharjan,Biratnagar,Kathmandu,120.46,27.58,completed,2024-09-27 05:16:59,2024-09-27 06:38:24.888878,3.3,esewa
125,Rajan Pandey,Manish Bajracharya,Butwal,Kirtipur,704.77,28.11,completed,2024-03-26 04:12:41,2024-03-26 05:04:26.115975,3.3,cash
126,Nisha Bista,Niraj Acharya,Kathmandu,Hetauda,1000.0,23.09,cancelled,2024-12-19 08:33:06,,,esewa
127,Suresh Magar,Arun Joshi,Hetauda,Birgunj,439.11,33.61,completed,2024-09-11 18:27:06,2024-09-11 19:04:31.041742,4.1,khalti
128,Kabita Lama,Ritu Koirala,Hetauda,Chitwan,503.98,22.04,completed,2024-06-10 12:49:41,2024-06-10 13:45:47.604682,,cash
129,Ramesh Shrestha,Laxmi Shrestha,Lalitpur,Hetauda,178.74,6.84,no_show,2024-02-11 03:49:09,,,cash
130,Bikash Karki,Laxmi Shrestha,Hetauda,Kathmandu,341.88,25.89,cancelled,2024-02-02 14:04:52,,,cash
131,Nisha Bista,Meena Adhikari,Kathmandu,Pokhara,253.29,10.86,cancelled,2024-07-27 12:36:20,,,khalti
132,Rajan Pandey,Laxmi Shrestha,Lalitpur,Pokhara,748.93,2.65,cancelled,2024-02-23 19:17:18,,,
133,Rajan Pandey,Bina Ghimire,Biratnagar,Biratnagar,276.79,36.01,no_show,2024-11-03 12:31:12,,,card
134,Sita Tamang,Ashok Neupane,Pokhara,Birgunj,777.05,37.33,completed,2024-04-08 06:22:57,2024-04-08 07:38:22.285531,3.9,cash
135,Rajan Pandey,Niraj Acharya,Butwal,Pokhara,366.66,18.99,no_show,2024-03-02 12:34:33,,,cash
136,Sita Tamang,Kavya Poudel,Butwal,Pokhara,2553.35,26.72,no_show,2024-06-08 13:48:36,,,khalti
137,Nisha Bista,Ritu Koirala,Chitwan,Chitwan,376.16,1.93,cancelled,2024-04-10 12:43:43,,,
138,Ramesh Shrestha,Dipesh Oli,Kirtipur,Pokhara,101.17,23.05,completed,2024-11-25 00:42:54,2024-11-25 01:13:42.991532,4.5,khalti
139,Anita Rai,Rohan Shah,Kathmandu,Butwal,125.35,24.88,completed,2024-07-01 15:13:59,2024-07-01 16:41:00.666789,4.9,cash
140,Nisha Bista,Laxmi Shrestha,Biratnagar,Hetauda,223.44,18.05,completed,2024-02-09 04:16:57,2024-02-09 04:54:22.399350,3.2,cash
141,Priya Gurung,Ashok Neupane,Bhaktapur,Chitwan,507.57,34.42,completed,2024-12-08 05:16:12,2024-12-08 05:59:57.674045,4.0,khalti
142,Ramesh Shrestha,Nabin Chand,Kirtipur,Kathmandu,709.08,28.3,cancelled,2024-01-14 06:19:34,,,esewa
143,ramesh shrestha,Bina Ghimire,Kathmandu,Butwal,573.09,21.31,completed,2024-04-18 20:57:12,2024-04-18 21:08:03.872544,2.9,card
144,Bikash Karki,Laxmi Shrestha,Butwal,Chitwan,198.01,5.48,completed,2024-04-23 05:09:13,2024-04-23 06:00:18.916542,2.7,esewa
145,Priya Gurung,Bijay Yadav,Kathmandu,Pokhara,202.9,40.28,completed,2024-06-22 22:29:49,2024-06-22 23:32:30.672881,3.4,khalti
146,Suresh Magar,Ashok Neupane,Kirtipur,Pokhara,164.83,13.43,no_show,2024-07-07 00:56:25,,,khalti
147,Suresh Magar,Sunita KC,Kathmandu,Lalitpur,354.73,33.86,completed,2024-07-10 05:25:56,2024-07-10 05:56:37.979084,3.4,khalti
148,deepak thapa,Sunita KC,Kathmandu,Hetauda,728.82,38.15,completed,2024-02-18 13:46:56,2024-02-18 14:42:13.255591,4.1,cash
149,Sita Tamang,Sunita KC,Lalitpur,Kirtipur,136.59,22.42,cancelled,2024-01-12 04:58:31,,,esewa
150,Bikash Karki,Meena Adhikari,Biratnagar,Bhaktapur,453.36,31.58,cancelled,2024-01-10 15:56:19,,,cash
151,Priya Gurung,Sunita KC,Kathmandu,Biratnagar,677.35,2.32,completed,2024-04-30 00:41:08,2024-04-30 01:47:42.280666,3.2,cash
152,Rajan Pandey,Sabina Dahal,Pokhara,Lalitpur,443.91,29.11,completed,2024-01-28 13:30:54,2024-01-28 14:24:10.039541,4.9,esewa
153,Sita  Tamang,Meena Adhikari,Bhaktapur,Lalitpur,455.42,38.83,no_show,2024-09-03 07:11:03,,,khalti
154,Nisha Bista,Bijay Yadav,Chitwan,Butwal,741.41,39.98,cancelled,2024-02-08 19:00:45,,,card
155,Rajan Pandey,Laxmi Shrestha,Kathmandu,Butwal,498.51,21.54,cancelled,2024-11-18 01:10:21,,,cash
156,Suresh Magar,Dipesh Oli,Birgunj,Lalitpur,565.49,38.89,cancelled,2024-12-13 06:53:16,,,cash
157,Ramesh Shrestha,Sunita KC,Hetauda,Birgunj,2820.58,7.2,completed,2024-11-10 08:43:50,2024-11-10 09:56:56.432378,3.7,card
158,Priya Gurung,Suman Giri,Butwal,Birgunj,785.72,37.04,no_show,2024-10-20 22:26:04,,,khalti
159,Anita Rai,Suman Giri,Kathmandu,Birgunj,241.6,38.67,completed,2024-10-26 03:45:25,2024-10-26 03:57:32.604739,2.7,esewa
160,Nisha Bista,Rekha Tiwari,Lalitpur,Chitwan,313.29,36.24,completed,2024-08-31 18:51:21,2024-08-31 19:19:34.034062,4.9,esewa
161,Sita  Tamang,Manish Bajracharya,Kirtipur,Hetauda,2284.78,38.57,completed,2024-08-23 06:11:20,2024-08-23 07:15:31.768116,4.1,cash
162,Anita Rai,Bina Ghimire,Bhaktapur,Butwal,512.44,12.71,no_show,2024-05-30 06:53:05,,,cash
163,Priya Gurung,Ashok Neupane,Hetauda,Biratnagar,569.08,17.04,completed,2024-06-14 02:31:42,2024-06-14 03:00:42.417406,3.4,esewa
164,Priya Gurung,Sabina Dahal,Lalitpur,Kathmandu,1707.59,29.55,completed,2024-05-10 17:56:24,2024-05-10 18:38:36.564078,4.7,cash
165,Bikash Karki,Manish Bajracharya,Bhaktapur,Bhaktapur,718.81,22.96,cancelled,2024-04-28 18:54:44,,,esewa
166,Kabita Lama,Prem Basnet,Bhaktapur,Biratnagar,329.45,38.73,cancelled,2024-04-11 19:34:33,,,cash
167,Rajan Pandey,Dipesh Oli,Pokhara,Kathmandu,183.14,12.17,completed,2024-02-20 20:15:48,2024-02-20 21:28:26.653071,,card
168,Rajan Pandey,Bijay Yadav,Chitwan,Kirtipur,291.01,11.89,completed,2024-10-18 21:17:31,2024-10-18 22:45:36.877991,3.3,cash
169,Anita Rai,Ashok Neupane,Chitwan,Lalitpur,566.53,23.12,no_show,2024-02-21 20:22:10,,,card
170,Suresh Magar,Ashok Neupane,Pokhara,Birgunj,433.82,5.62,completed,2024-04-21 07:51:37,2024-04-21 08:33:16.283958,4.0,khalti
171,Suresh Magar,Ashok Neupane,Chitwan,Birgunj,686.64,16.33,completed,2024-04-12 00:45:44,2024-04-12 01:12:21.597750,3.4,khalti
172,Priya Gurung,Ritu Koirala,Chitwan,Kathmandu,688.94,35.5,cancelled,2024-11-24 01:39:35,,,
173,Kabita Lama,Niraj Acharya,Bhaktapur,Chitwan,2949.62,19.77,completed,2024-05-28 13:11:45,2024-05-28 14:03:39.682349,4.1,cash
174,Anita Rai,Sunita KC,Kirtipur,Kirtipur,2604.77,4.71,no_show,2024-07-10 20:02:56,,,esewa
175,Suresh Magar,Prem Basnet,Biratnagar,Birgunj,454.09,26.41,completed,2024-12-07 08:15:58,2024-12-07 09:17:27.703784,3.1,cash
176,Sita Tamang,Suman Giri,Chitwan,Birgunj,425.47,23.91,completed,2024-02-02 04:32:41,2024-02-02 04:47:23.747475,4.4,card
177,Sita Tamang,Ritu Koirala,Biratnagar,Butwal,449.35,43.25,cancelled,2024-07-03 15:41:42,,,cash
178,Kabita Lama,Meena Adhikari,Chitwan,Biratnagar,121.57,21.45,no_show,2024-04-22 17:33:55,,,cash
179,Sita Tamang,Rekha Tiwari,Kirtipur,Butwal,376.0,20.76,completed,2024-12-10 14:37:07,2024-12-10 15:33:44.712492,4.0,cash
180,Nisha Bista,Rohan Shah,Pokhara,Chitwan,693.7,27.92,completed,2024-04-29 02:58:04,2024-04-29 03:46:58.237490,4.0,card
181,Rajan Pandey,Ritu Koirala,Bhaktapur,Pokhara,182.06,1.42,completed,2024-09-07 23:35:09,2024-09-08 00:27:15.131213,3.5,cash
182,Anita Rai,Sanjay Maharjan,Lalitpur,Bhaktapur,441.27,25.14,completed,2024-10-14 02:15:00,2024-10-14 03:38:45.950831,2.7,cash
183,Rajan Pandey,Bijay Yadav,Butwal,Kirtipur,497.58,35.95,no_show,2024-07-13 10:58:57,,,cash
184,deepak thapa,Laxmi Shrestha,Biratnagar,Bhaktapur,642.86,20.13,completed,2024-03-16 03:46:29,2024-03-16 04:50:21.361507,,cash
185,Kabita Lama,Nabin Chand,Biratnagar,Kirtipur,96.63,9.11,completed,2024-02-08 00:26:34,2024-02-08 01:04:29.240376,3.8,cash
186,ramesh shrestha,Dipesh Oli,Butwal,Biratnagar,469.86,40.14,no_show,2024-03-02 00:40:15,,,cash
187,Kabita Lama,Ashok Neupane,Biratnagar,Chitwan,127.02,14.8,completed,2024-10-24 05:25:18,2024-10-24 05:41:55.120572,3.1,card
188,Priya Gurung,Sunita KC,Birgunj,Birgunj,299.3,38.7,cancelled,2024-11-26 21:50:52,,,khalti
189,Bikash Karki,Nabin Chand,Biratnagar,Hetauda,1537.73,3.2,completed,2024-10-16 06:22:24,2024-10-16 06:53:07.107863,4.0,card
190,Bikash Karki,Sabina Dahal,Pokhara,Lalitpur,226.89,35.93,completed,2024-02-06 05:38:01,2024-02-06 06:11:32.578073,4.8,card
191,Suresh Magar,Kavya Poudel,Kirtipur,Pokhara,499.53,27.17,no_show,2024-04-12 02:27:19,,,esewa
192,Bikash Karki,Arun Joshi,Lalitpur,Biratnagar,753.37,20.85,completed,2024-05-29 13:11:30,2024-05-29 14:36:05.935711,3.3,card
